,player,territory,bid,time,age,round,game_id,text
167,Purple,Historic Territory,2,2020-08-10 12:45:04,I,6,7480288,Purple wins Historic Territory#Winning bid is 2#
168,Grey,Historic Territory,5,2020-08-13 20:23:46,III,13,7480536,Grey wins Historic Territory#Winning bid is 5#
169,Green,Strategic Territory,4,2020-08-13 14:31:12,II,11,7480536,Green wins Strategic Territory#Winning bid is 4#
170,Orange,Developed Territory,4,2020-08-13 12:56:44,II,10,7480536,Orange wins Developed Territory#Winning bid is 4#
171,Orange,Historic Territory,3,2020-08-13 11:28:45,II,9,7480536,Orange wins Historic Territory#Winning bid is 3#
172,Orange,Vast Territory,4,2020-08-12 14:16:55,I,6,7480536,Orange wins Vast Territory#Winning bid is 4#
173,Grey,Vast Territory,5,2020-08-19 08:33:58,III,15,7480677,Grey wins Vast Territory#Winning bid is 5#
174,Purple,Developed Territory,9,2020-08-18 20:57:10,III,15,7480677,Purple wins Developed Territory#Winning bid is 9#
175,Green,Developed Territory,5,2020-08-18 08:23:45,II,11,7480677,Green wins Developed Territory#Winning bid is 5#
176,Green,Wealthy Territory,3,2020-08-17 14:52:07,II,8,7480677,Green wins Wealthy Territory#Winning bid is 3#
177,Orange,Historic Territory,2,2020-08-17 13:45:47,I,7,7480677,Orange wins Historic Territory#Winning bid is 2#
178,Grey,Vast Territory,18,2020-08-24 15:32:03,IV,17,7480887,Grey wins Vast Territory#Winning bid is 18#
179,Orange,Strategic Territory,8,2020-08-24 14:16:45,IV,16,7480887,Orange wins Strategic Territory#Winning bid is 8#
180,Grey,Wealthy Territory,6,2020-08-24 11:41:55,III,14,7480887,Grey wins Wealthy Territory#Winning bid is 6#
181,Purple,Vast Territory,6,2020-08-22 10:17:21,II,10,7480887,Purple wins Vast Territory#Winning bid is 6#
182,Grey,Historic Territory,2,2020-08-21 09:45:02,II,9,7480887,Grey wins Historic Territory#Winning bid is 2#
183,Grey,Inhabited Territory,3,2020-08-20 14:50:55,I,6,7480887,Grey wins Inhabited Territory#Winning bid is 3#
184,Orange,Strategic Territory,8,2020-08-31 20:21:36,III,14,7481117,Orange wins Strategic Territory#Winning bid is 8#
185,Green,Wealthy Territory,9,2020-08-31 17:23:52,III,14,7481117,Green wins Wealthy Territory#Winning bid is 9#
186,Orange,Developed Territory,4,2020-08-27 20:33:10,II,10,7481117,Orange wins Developed Territory#Winning bid is 4#
187,Orange,Vast Territory,7,2020-08-26 16:10:19,II,8,7481117,Orange wins Vast Territory#Winning bid is 7#
188,Orange,Fertile Territory,10,2020-09-10 08:22:26,III,17,7481459,Orange wins Fertile Territory#Winning bid is 10#
189,Green,Inhabited Territory,7,2020-09-08 16:33:09,III,14,7481459,Green wins Inhabited Territory#Winning bid is 7#
190,Green,Developed Territory,1,2020-09-08 13:49:37,II,12,7481459,Green wins Developed Territory#Winning bid is 1#
191,Grey,Fertile Territory,5,2020-09-08 12:10:30,II,11,7481459,Grey wins Fertile Territory#Winning bid is 5#
192,Orange,Inhabited Territory,5,2020-09-05 10:42:14,II,9,7481459,Orange wins Inhabited Territory#Winning bid is 5#
193,Green,Strategic Territory,3,2020-09-02 15:24:52,I,5,7481459,Green wins Strategic Territory#Winning bid is 3#
194,Purple,Historic Territory,2,2020-09-02 14:30:14,I,4,7481459,Purple wins Historic Territory#Winning bid is 2#
195,Orange,Historic Territory,6,2020-09-14 09:55:34,III,15,7481844,Orange wins Historic Territory#Winning bid is 6#
196,Purple,Inhabited Territory,6,2020-09-14 09:08:24,III,14,7481844,Purple wins Inhabited Territory#Winning bid is 6#
197,Grey,Inhabited Territory,3,2020-09-13 22:17:08,II,11,7481844,Grey wins Inhabited Territory#Winning bid is 3#
198,Grey,Historic Territory,3,2020-09-13 22:06:57,II,11,7481844,Grey wins Historic Territory#Winning bid is 3#
199,Orange,Developed Territory,2,2020-09-13 21:33:25,II,11,7481844,Orange wins Developed Territory#Winning bid is 2#
200,Purple,Fertile Territory,4,2020-09-11 22:25:11,I,7,7481844,Purple wins Fertile Territory#Winning bid is 4#
201,Green,Inhabited Territory,5,2020-09-21 11:22:05,III,14,7482019,Green wins Inhabited Territory#Winning bid is 5#
202,Green,Inhabited Territory,7,2020-09-21 09:30:12,III,13,7482019,Green wins Inhabited Territory#Winning bid is 7#
203,Purple,Strategic Territory,5,2020-09-17 09:10:00,II,9,7482019,Purple wins Strategic Territory#Winning bid is 5#
204,Purple,Developed Territory,6,2020-10-05 13:31:22,III,18,7482338,Purple wins Developed Territory#Winning bid is 6#
205,Purple,Historic Territory,5,2020-10-02 18:50:26,III,16,7482338,Purple wins Historic Territory#Winning bid is 5#
206,Orange,Wealthy Territory,4,2020-10-01 08:34:42,II,13,7482338,Orange wins Wealthy Territory#Winning bid is 4#
207,Green,Historic Territory,3,2020-09-29 13:13:52,II,10,7482338,Green wins Historic Territory#Winning bid is 3#
208,Green,Wealthy Territory,3,2020-09-29 10:59:49,II,10,7482338,Green wins Wealthy Territory#Winning bid is 3#
209,Green,Developed Territory,4,2020-09-29 10:26:28,II,9,7482338,Green wins Developed Territory#Winning bid is 4#
210,Grey,Strategic Territory,4,2020-09-26 00:06:08,I,6,7482338,Grey wins Strategic Territory#Winning bid is 4#
211,Grey,Fertile Territory,12,2020-10-15 17:38:44,IV,19,7482908,Grey wins Fertile Territory#Winning bid is 12#
212,Green,Wealthy Territory,7,2020-10-13 21:21:33,III,14,7482908,Green wins Wealthy Territory#Winning bid is 7#
213,Green,Inhabited Territory,7,2020-10-12 13:11:50,II,11,7482908,Green wins Inhabited Territory#Winning bid is 7#
214,Green,Historic Territory,5,2020-10-12 11:26:41,II,10,7482908,Green wins Historic Territory#Winning bid is 5#
215,Green,Developed Territory,5,2020-10-10 19:09:34,II,8,7482908,Green wins Developed Territory#Winning bid is 5#
216,Orange,Fertile Territory,5,2020-10-09 09:13:28,I,6,7482908,Orange wins Fertile Territory#Winning bid is 5#
217,Purple,Inhabited Territory,5,2020-10-31 18:48:20,IV,20,7483387,Purple wins Inhabited Territory#Winning bid is 5#
218,Purple,Wealthy Territory,5,2020-10-30 21:30:06,III,18,7483387,Purple wins Wealthy Territory#Winning bid is 5#
219,Orange,Historic Territory,4,2020-10-29 20:41:37,III,16,7483387,Orange wins Historic Territory#Winning bid is 4#
220,Grey,Wealthy Territory,5,2020-10-28 14:42:44,II,12,7483387,Grey wins Wealthy Territory#Winning bid is 5#
221,Orange,Fertile Territory,5,2020-10-28 11:29:44,II,11,7483387,Orange wins Fertile Territory#Winning bid is 5#
222,Orange,Historic Territory,3,2020-10-20 16:48:49,I,8,7483387,Orange wins Historic Territory#Winning bid is 3#
223,Purple,Wealthy Territory,7,2020-11-16 13:35:25,III,17,7484166,Purple wins Wealthy Territory#Winning bid is 7#
224,Orange,Inhabited Territory,9,2020-11-14 20:34:53,III,14,7484166,Orange wins Inhabited Territory#Winning bid is 9#
225,Grey,Fertile Territory,8,2020-11-13 15:22:06,II,13,7484166,Grey wins Fertile Territory#Winning bid is 8#
226,Orange,Developed Territory,4,2020-11-13 14:53:57,II,13,7484166,Orange wins Developed Territory#Winning bid is 4#
227,Orange,Developed Territory,4,2020-11-13 14:21:13,II,12,7484166,Orange wins Developed Territory#Winning bid is 4#
228,Green,Wealthy Territory,4,2020-11-13 14:05:02,II,12,7484166,Green wins Wealthy Territory#Winning bid is 4#
229,Green,Fertile Territory,2,2020-11-11 08:59:58,II,8,7484166,Green wins Fertile Territory#Winning bid is 2#
230,Orange,Developed Territory,2,2020-12-01 10:10:24,IV,19,7484894,Orange wins Developed Territory#Winning bid is 2#
231,Grey,Wealthy Territory,12,2020-12-01 07:42:30,IV,19,7484894,Grey wins Wealthy Territory#Winning bid is 12#
232,Purple,Historic Territory,8,2020-11-29 23:12:38,III,15,7484894,Purple wins Historic Territory#Winning bid is 8#
233,Green,Inhabited Territory,5,2020-11-23 14:43:08,II,10,7484894,Green wins Inhabited Territory#Winning bid is 5#
234,Purple,Wealthy Territory,2,2020-11-20 22:22:06,II,9,7484894,Purple wins Wealthy Territory#Winning bid is 2#
235,Green,Fertile Territory,3,2020-11-18 17:08:42,I,5,7484894,Green wins Fertile Territory#Winning bid is 3#
236,Green,Strategic Territory,11,2020-12-22 11:51:43,IV,20,7485891,Green wins Strategic Territory#Winning bid is 11#
237,Purple,Inhabited Territory,6,2020-12-17 20:06:37,II,13,7485891,Purple wins Inhabited Territory#Winning bid is 6#
238,Green,Fertile Territory,5,2020-12-16 13:30:30,II,10,7485891,Green wins Fertile Territory#Winning bid is 5#
239,Green,Historic Territory,4,2020-12-15 12:58:48,II,9,7485891,Green wins Historic Territory#Winning bid is 4#
240,Green,Wealthy Territory,5,2020-12-15 09:59:32,II,9,7485891,Green wins Wealthy Territory#Winning bid is 5#
241,Green,Inhabited Territory,3,2020-12-11 17:05:17,I,7,7485891,Green wins Inhabited Territory#Winning bid is 3#
242,Orange,Developed Territory,2,2020-12-10 19:58:57,I,7,7485891,Orange wins Developed Territory#Winning bid is 2#
243,Purple,Strategic Territory,3,2020-12-10 15:48:22,I,5,7485891,Purple wins Strategic Territory#Winning bid is 3#
244,Orange,Strategic Territory,7,2021-01-06 11:43:33,III,18,7486444,Orange wins Strategic Territory#Winning bid is 7#
245,Orange,Fertile Territory,7,2021-01-04 17:21:30,III,14,7486444,Orange wins Fertile Territory#Winning bid is 7#
246,Orange,Inhabited Territory,4,2021-01-04 15:55:43,II,13,7486444,Orange wins Inhabited Territory#Winning bid is 4#
247,Orange,Historic Territory,3,2021-01-04 09:38:26,II,10,7486444,Orange wins Historic Territory#Winning bid is 3#
248,Green,Strategic Territory,3,2020-12-29 00:17:56,I,6,7486444,Green wins Strategic Territory#Winning bid is 3#
249,Green,Fertile Territory,4,2020-12-27 23:33:22,I,5,7486444,Green wins Fertile Territory#Winning bid is 4#
250,Orange,Developed Territory,2,2020-12-24 16:37:34,I,5,7486444,Orange wins Developed Territory#Winning bid is 2#
251,Purple,Developed Territory,4,2021-01-27 14:02:07,II,13,7487030,Purple wins Developed Territory#Winning bid is 4#
252,Purple,Inhabited Territory,7,2021-01-24 21:50:03,II,9,7487030,Purple wins Inhabited Territory#Winning bid is 7#
253,Orange,Wealthy Territory,3,2021-01-23 09:46:04,II,8,7487030,Orange wins Wealthy Territory#Winning bid is 3#
254,Purple,Strategic Territory,3,2021-01-18 12:26:55,I,7,7487030,Purple wins Strategic Territory#Winning bid is 3#
255,Orange,Historic Territory,23,2021-02-16 21:50:58,IV,19,7488202,Orange wins Historic Territory#Winning bid is 23#
256,Orange,Wealthy Territory,3,2021-02-16 15:18:26,III,17,7488202,Orange wins Wealthy Territory#Winning bid is 3#
257,Grey,Inhabited Territory,15,2021-02-16 12:08:02,III,16,7488202,Grey wins Inhabited Territory#Winning bid is 15#
258,Orange,Developed Territory,3,2021-02-10 09:05:04,II,11,7488202,Orange wins Developed Territory#Winning bid is 3#
259,Purple,Historic Territory,2,2021-02-04 08:32:35,I,7,7488202,Purple wins Historic Territory#Winning bid is 2#
260,Green,Wealthy Territory,2,2021-02-03 17:16:14,I,6,7488202,Green wins Wealthy Territory#Winning bid is 2#
261,Orange,Historic Territory,24,2021-03-03 11:59:31,IV,17,7488850,Orange wins Historic Territory#Winning bid is 24#
262,Purple,Wealthy Territory,5,2021-03-02 07:02:17,III,14,7488850,Purple wins Wealthy Territory#Winning bid is 5#
263,Grey,Strategic Territory,8,2021-03-01 15:46:29,III,13,7488850,Grey wins Strategic Territory#Winning bid is 8#
264,Orange,Developed Territory,8,2021-03-01 12:33:34,III,12,7488850,Orange wins Developed Territory#Winning bid is 8#
265,Orange,Historic Territory,2,2021-02-25 18:59:10,II,9,7488850,Orange wins Historic Territory#Winning bid is 2#
266,Orange,Developed Territory,2,2021-02-22 16:12:49,II,8,7488850,Orange wins Developed Territory#Winning bid is 2#
267,Purple,Inhabited Territory,2,2021-02-22 10:00:44,I,6,7488850,Purple wins Inhabited Territory#Winning bid is 2#
268,Grey,Inhabited Territory,12,2021-03-11 14:44:25,III,16,7489429,Grey wins Inhabited Territory#Winning bid is 12#
269,Green,Developed Territory,4,2021-03-10 16:31:06,II,13,7489429,Green wins Developed Territory#Winning bid is 4#
270,Orange,Vast Territory,4,2021-03-09 11:32:14,II,9,7489429,Orange wins Vast Territory#Winning bid is 4#
271,Grey,Wealthy Territory,2,2021-03-08 08:36:13,I,7,7489429,Grey wins Wealthy Territory#Winning bid is 2#
272,Orange,Historic Territory,2,2021-03-07 18:21:12,I,6,7489429,Orange wins Historic Territory#Winning bid is 2#
273,Grey,Vast Territory,8,2021-03-17 10:40:12,IV,17,7489723,Grey wins Vast Territory#Winning bid is 8#
274,Orange,Inhabited Territory,10,2021-03-16 11:53:35,III,16,7489723,Orange wins Inhabited Territory#Winning bid is 10#
275,Purple,Historic Territory,5,2021-03-15 19:48:48,III,13,7489723,Purple wins Historic Territory#Winning bid is 5#
276,Purple,Vast Territory,6,2021-03-15 12:15:02,II,11,7489723,Purple wins Vast Territory#Winning bid is 6#
277,Purple,Wealthy Territory,3,2021-03-13 13:47:54,I,5,7489723,Purple wins Wealthy Territory#Winning bid is 3#
278,Purple,Developed Territory,11,2021-03-28 11:05:36,IV,18,7489957,Purple wins Developed Territory#Winning bid is 11#
279,Orange,Inhabited Territory,9,2021-03-27 09:10:14,III,14,7489957,Orange wins Inhabited Territory#Winning bid is 9#
280,Orange,Vast Territory,8,2021-03-26 06:37:26,III,13,7489957,Orange wins Vast Territory#Winning bid is 8#
281,Grey,Vast Territory,3,2021-03-24 14:50:03,I,5,7489957,Grey wins Vast Territory#Winning bid is 3#
282,Purple,Historic Territory,2,2021-03-24 14:02:47,I,5,7489957,Purple wins Historic Territory#Winning bid is 2#
283,Orange,Inhabited Territory,6,2021-03-28 21:32:50,III,16,7490325,Orange wins Inhabited Territory#Winning bid is 6#
284,Orange,Wealthy Territory,5,2021-03-28 20:49:47,III,13,7490325,Orange wins Wealthy Territory#Winning bid is 5#
285,Purple,Developed Territory,7,2021-03-28 20:36:56,II,12,7490325,Purple wins Developed Territory#Winning bid is 7#
286,Orange,Vast Territory,6,2021-03-28 20:03:51,II,10,7490325,Orange wins Vast Territory#Winning bid is 6#
287,Orange,Strategic Territory,3,2021-03-28 19:43:12,II,9,7490325,Orange wins Strategic Territory#Winning bid is 3#
288,Purple,Developed Territory,5,2021-03-28 19:34:16,II,8,7490325,Purple wins Developed Territory#Winning bid is 5#
289,Orange,Developed Territory,8,2021-04-06 08:57:39,III,17,7490386,Orange wins Developed Territory#Winning bid is 8#
290,Purple,Wealthy Territory,5,2021-04-05 15:33:21,III,15,7490386,Purple wins Wealthy Territory#Winning bid is 5#
291,Green,Vast Territory,7,2021-04-05 11:14:36,III,13,7490386,Green wins Vast Territory#Winning bid is 7#
292,Orange,Strategic Territory,6,2021-04-05 10:54:50,III,13,7490386,Orange wins Strategic Territory#Winning bid is 6#
293,Orange,Inhabited Territory,6,2021-04-02 22:42:10,II,11,7490386,Orange wins Inhabited Territory#Winning bid is 6#
294,Grey,Wealthy Territory,4,2021-04-02 07:38:57,II,10,7490386,Grey wins Wealthy Territory#Winning bid is 4#
295,Purple,Historic Territory,2,2021-03-31 10:31:06,I,5,7490386,Purple wins Historic Territory#Winning bid is 2#
296,Green,Developed Territory,8,2021-04-16 08:22:12,III,14,7490649,Green wins Developed Territory#Winning bid is 8#
297,Purple,Strategic Territory,6,2021-04-15 18:39:16,III,13,7490649,Purple wins Strategic Territory#Winning bid is 6#
298,Purple,Vast Territory,5,2021-04-15 15:14:44,III,13,7490649,Purple wins Vast Territory#Winning bid is 5#
299,Purple,Developed Territory,4,2021-04-12 08:26:57,II,8,7490649,Purple wins Developed Territory#Winning bid is 4#
300,Grey,Strategic Territory,3,2021-04-11 12:32:33,II,8,7490649,Grey wins Strategic Territory#Winning bid is 3#
301,Green,Historic Territory,2,2021-04-09 18:07:22,I,6,7490649,Green wins Historic Territory#Winning bid is 2#
302,Purple,Wealthy Territory,3,2021-04-09 12:23:22,I,5,7490649,Purple wins Wealthy Territory#Winning bid is 3#
303,Green,Strategic Territory,7,2021-04-27 22:52:33,IV,17,7491046,Green wins Strategic Territory#Winning bid is 7#
304,Green,Wealthy Territory,7,2021-04-27 14:54:42,III,17,7491046,Green wins Wealthy Territory#Winning bid is 7#
305,Green,Vast Territory,7,2021-04-27 12:52:57,III,16,7491046,Green wins Vast Territory#Winning bid is 7#
306,Orange,Inhabited Territory,11,2021-04-26 20:59:10,III,15,7491046,Orange wins Inhabited Territory#Winning bid is 11#
307,Green,Historic Territory,8,2021-04-26 11:29:19,III,14,7491046,Green wins Historic Territory#Winning bid is 8#
308,Grey,Strategic Territory,5,2021-04-25 08:52:24,II,11,7491046,Grey wins Strategic Territory#Winning bid is 5#
309,Green,Inhabited Territory,7,2021-04-23 00:33:05,II,10,7491046,Green wins Inhabited Territory#Winning bid is 7#
310,Orange,Vast Territory,5,2021-04-21 22:10:41,II,9,7491046,Orange wins Vast Territory#Winning bid is 5#
311,Green,Historic Territory,3,2021-04-20 18:11:33,I,6,7491046,Green wins Historic Territory#Winning bid is 3#
312,Orange,Inhabited Territory,8,2021-05-21 11:38:20,IV,17,7491505,Orange wins Inhabited Territory#Winning bid is 8#
313,Orange,Wealthy Territory,8,2021-05-21 09:13:53,III,15,7491505,Orange wins Wealthy Territory#Winning bid is 8#
314,Green,Historic Territory,5,2021-05-18 09:11:40,III,13,7491505,Green wins Historic Territory#Winning bid is 5#
315,Orange,Inhabited Territory,5,2021-05-16 13:12:18,II,11,7491505,Orange wins Inhabited Territory#Winning bid is 5#
316,Grey,Developed Territory,2,2021-05-14 08:46:55,II,11,7491505,Grey wins Developed Territory#Winning bid is 2#
317,Purple,Strategic Territory,2,2021-05-12 08:48:33,II,10,7491505,Purple wins Strategic Territory#Winning bid is 2#
318,Orange,Wealthy Territory,5,2021-05-11 23:10:24,II,9,7491505,Orange wins Wealthy Territory#Winning bid is 5#
319,Green,Vast Territory,6,2021-06-03 16:22:10,III,17,7492262,Green wins Vast Territory#Winning bid is 6#
320,Grey,Developed Territory,5,2021-06-03 12:12:09,III,14,7492262,Grey wins Developed Territory#Winning bid is 5#
321,Grey,Inhabited Territory,7,2021-06-02 22:14:06,III,13,7492262,Grey wins Inhabited Territory#Winning bid is 7#
322,Orange,Wealthy Territory,6,2021-06-01 11:07:54,II,12,7492262,Orange wins Wealthy Territory#Winning bid is 6#
323,Grey,Inhabited Territory,6,2021-05-30 09:51:22,II,11,7492262,Grey wins Inhabited Territory#Winning bid is 6#
324,Grey,Strategic Territory,5,2021-05-26 10:11:47,II,10,7492262,Grey wins Strategic Territory#Winning bid is 5#
325,Orange,Historic Territory,2,2021-05-25 07:52:51,I,5,7492262,Orange wins Historic Territory#Winning bid is 2#
326,Grey,Wealthy Territory,9,2021-06-15 13:35:15,IV,17,7492705,Grey wins Wealthy Territory#Winning bid is 9#
327,Orange,Inhabited Territory,4,2021-06-10 21:10:35,II,10,7492705,Orange wins Inhabited Territory#Winning bid is 4#
328,Green,Strategic Territory,4,2021-06-09 11:45:51,II,7,7492705,Green wins Strategic Territory#Winning bid is 4#
329,Green,Wealthy Territory,1,2021-06-08 04:52:52,I,5,7492705,Green wins Wealthy Territory#Winning bid is 1#
330,Orange,Strategic Territory,3,2021-06-22 17:59:47,II,9,7493040,Orange wins Strategic Territory#Winning bid is 3#
331,Grey,Vast Territory,4,2021-06-22 08:25:22,II,7,7493040,Grey wins Vast Territory#Winning bid is 4#
332,Green,Historic Territory,3,2021-06-22 07:35:28,I,7,7493040,Green wins Historic Territory#Winning bid is 3#
333,Grey,Historic Territory,2,2021-07-01 09:42:50,III,14,7493350,Grey wins Historic Territory#Winning bid is 2#
334,Purple,Vast Territory,4,2021-06-29 23:35:31,II,7,7493350,Purple wins Vast Territory#Winning bid is 4#
